tag,date,model,imgsz,all_map50,all_map5095,all_n,daytime_map50,daytime_map5095,daytime_n,night_map50,night_map5095,night_n,dawn_dusk_map50,dawn_dusk_map5095,dawn_dusk_n,rainy_map50,rainy_map5095,rainy_n,snowy_map50,snowy_map5095,snowy_n,clear_map50,clear_map5095,clear_n,gap_map50,gap_map5095
E1-1_bdd_1ep,2026-07-31 00:32,runs/detect/train-2/weights/best.pt,640,0.2787,0.1422,10000,0.2808,0.1468,5258,0.2705,0.1323,3929,0.2686,0.1414,778,0.2819,0.1466,738,0.2813,0.1393,769,0.2732,0.1377,5346,0.0103,0.0145
E1-1_baseline_s_50ep,2026-08-01 00:50,runs/detect/E1-1_baseline_s_50ep/weights/best.pt,640,0.5325,0.3003,10000,0.5371,0.3081,5258,0.5221,0.2850,3929,0.5256,0.3002,778,0.5292,0.3036,738,0.4968,0.2781,769,0.5221,0.2907,5346,0.0150,0.0230
E1-0_zeroshot_s,2026-08-03 14:08,yolov8s.pt,640,0.3462,0.1981,10000,0.3772,0.2188,5258,0.2699,0.1468,3929,0.3410,0.2001,778,0.3509,0.2054,738,0.3290,0.1910,769,0.3166,0.1778,5346,0.1073,0.0720
E2-1_freeze0,2026-08-09 18:23,runs/detect/E2-1_freeze0/weights/best.pt,640,0.5233,0.2930,10000,0.5280,0.3007,5258,0.5137,0.2783,3929,0.5149,0.2903,778,0.5247,0.2999,738,0.4931,0.2775,769,0.5124,0.2835,5346,0.0143,0.0224
E2-2_freeze10,2026-08-09 18:26,runs/detect/E2-2_freeze10/weights/best.pt,640,0.4732,0.2658,10000,0.4802,0.2747,5258,0.4505,0.2429,3929,0.4682,0.2680,778,0.4772,0.2697,738,0.4483,0.2500,769,0.4607,0.2551,5346,0.0297,0.0318
E2-3_freeze15,2026-08-09 18:29,runs/detect/E2-3_freeze15/weights/best.pt,640,0.4445,0.2483,10000,0.4510,0.2569,5258,0.4254,0.2287,3929,0.4381,0.2449,778,0.4535,0.2542,738,0.4360,0.2432,769,0.4323,0.2377,5346,0.0256,0.0282
E2-4_freeze22,2026-08-09 18:32,runs/detect/E2-4_freeze22/weights/best.pt,640,0.3970,0.2184,10000,0.4130,0.2323,5258,0.3515,0.1841,3929,0.3920,0.2150,778,0.3870,0.2202,738,0.3821,0.2112,769,0.3819,0.2064,5346,0.0614,0.0481
E3-2_night_oversample,2026-08-19 07:46,runs/detect/E3-2_night_oversample/weights/best.pt,640,0.5198,0.2919,10000,0.5213,0.2976,5258,0.5198,0.2827,3929,0.5077,0.2914,778,0.5263,0.2998,738,0.4885,0.2771,769,0.5121,0.2845,5346,0.0015,0.0149
E3-3_night_aug,2026-08-19 07:49,runs/detect/E3-3_night_aug/weights/best.pt,640,0.5231,0.2940,10000,0.5272,0.3013,5258,0.5131,0.2793,3929,0.5242,0.2936,778,0.5289,0.3040,738,0.5113,0.2844,769,0.5126,0.2851,5346,0.0141,0.0220
E3-4_combined,2026-08-19 07:52,runs/detect/E3-4_combined/weights/best.pt,640,0.5216,0.2923,10000,0.5214,0.2969,5258,0.5201,0.2864,3929,0.5227,0.2908,778,0.5231,0.2954,738,0.5076,0.2767,769,0.5111,0.2849,5346,0.0013,0.0105
